"フレーム数,中心座標X,中心座標Y,左上x,左上y"
566,368,395,358,386
567,365,399,356,389
568,364,401,356,392
569,363,404,354,396
570,362,406,352,396
572,359,411,350,402
577,357,418,348,410
578,358,417,348,410
579,362,415,352,408
580,364,412,355,403
585,369,410,360,402
586,366,410,354,400
587,359,406,350,396
588,356,400,346,390
589,354,395,346,386
590,359,393,350,384
596,357,393,350,384
597,356,394,346,386
598,354,398,345,389
599,353,401,344,392
600,350,404,342,394
606,355,409,346,402
616,363,401,354,392
617,362,398,353,388
618,364,395,354,384
619,365,391,356,382
620,365,388,356,378
624,363,386,356,376
625,364,390,356,380
626,364,395,356,384
627,365,401,356,392
628,365,406,356,396
629,367,411,358,402
630,367,413,358,403
631,368,415,360,406
632,370,419,360,408
633,371,423,362,411
634,373,432,364,420
635,377,446,366,430
636,383,463,372,446
638,399,510,388,492
641,437,585,422,568
642,453,605,438,590
643,473,623,456,608
645,513,650,496,638
646,536,660,510,650
647,560,669,541,658
648,583,676,564,667
649,604,681,586,672
650,625,685,610,676
651,643,687,628,680
652,663,688,648,680
653,685,687,668,680
654,702,684,688,676
655,721,678,704,669
656,737,670,722,660
657,753,661,740,650
658,769,651,754,640
659,783,641,768,631
660,796,630,784,620
661,805,619,796,608
662,815,603,804,594
663,824,591,812,580
664,833,576,824,564
665,840,562,830,550
666,845,547,836,534
667,851,531,841,519
668,855,514,848,502
669,857,499,848,488
670,860,486,851,475
671,861,472,851,460
672,860,462,852,448
673,862,443,852,431
674,863,426,856,416
675,864,415,856,400
676,865,401,856,386
677,865,382,856,372
678,864,370,856,356
680,856,346,848,332
681,851,331,840,320
682,844,315,835,304
683,838,303,828,290
684,828,284,819,272
685,821,271,808,260
686,806,255,794,242
687,791,240,778,228
688,769,221,756,211
689,752,208,738,196
690,734,191,720,180
691,717,179,704,167
692,699,165,685,152
693,681,154,666,144
694,665,146,650,136
695,647,141,631,132
696,628,137,610,128
697,608,135,592,128
698,590,136,574,128
699,570,139,552,130
700,552,142,536,134
701,536,147,520,133
702,521,154,504,144
703,508,161,496,152
704,498,169,486,156
705,490,178,478,164
706,481,189,468,176
707,475,199,464,186
708,468,210,456,194
709,459,225,448,212
710,451,239,440,228
711,444,254,434,240
712,437,270,428,256
713,431,286,421,272
714,424,305,412,287
715,413,326,400,310
716,404,346,392,326
717,396,370,386,354
718,395,392,386,376
719,396,412,384,394
720,403,433,392,416
721,412,451,402,434
722,421,473,412,458
723,430,494,417,478
724,439,516,428,496
725,450,539,438,519
726,463,562,448,544
728,505,605,488,592
730,553,641,536,628
734,671,682,648,675
735,704,685,684,678
736,732,684,709,678
737,761,683,744,674
738,787,675,770,666
739,811,665,796,654
740,830,651,816,640
741,846,637,832,624
742,863,621,851,610
743,875,606,864,592
744,884,590,874,578
745,890,572,882,560
746,895,556,886,544
747,897,540,889,526
748,896,523,888,510
749,894,506,884,492
750,888,486,880,472
751,886,466,878,450
752,886,447,876,434
753,882,428,872,416
754,877,412,867,399
755,870,393,862,380
756,864,374,856,360
757,859,356,850,342
758,852,336,840,322
759,843,320,833,307
760,833,303,822,288
761,816,281,804,266
762,798,258,785,246
763,785,242,772,232
764,765,222,754,210
765,752,209,740,198
766,738,194,726,184
767,724,180,710,170
768,707,167,694,152
769,688,154,672,144
770,666,144,650,136
771,641,135,618,128
772,613,130,592,122
773,587,128,568,120
774,562,130,544,120
