W Y Cr Cb
0.00373330208526 195 171 78
0.00215392793018 201 167 75
0.00250250722566 203 165 72
0.00433747820111 203 165 73
0.00680251991709 202 166 74
0.00965323526301 202 166 75
0.012394999431 198 169 77
0.0144009347775 199 168 77
0.0151392864924 196 170 79
0.0144009347775 196 170 79
0.012394999431 196 170 78
0.00965323526301 196 170 77
0.00680251991709 194 171 78
0.00433747820111 194 171 78
0.00250250722566 201 167 75
0.00263081351481 198 169 74
0.00455986546398 199 168 74
0.00715129257136 199 168 75
0.0101481672185 199 168 75
0.0130305046414 197 169 78
0.0151392864924 198 169 78
0.0159154943092 195 171 79
0.0151392864924 196 170 79
0.0130305046414 197 169 78
0.0101481672185 196 170 78
0.00715129257136 196 170 77
0.00455986546398 195 171 76
0.00263081351481 199 168 73
0.00250250722566 199 168 74
0.00433747820111 200 167 74
0.00680251991709 199 168 75
0.00965323526301 199 168 76
0.012394999431 198 169 78
0.0144009347775 198 169 78
0.0151392864924 196 170 79
0.0144009347775 196 170 79
0.012394999431 196 170 77
0.00965323526301 193 172 77
0.00680251991709 193 172 76
0.00433747820111 195 171 76
0.00250250722566 199 168 73
0.00215392793018 199 168 74
0.00373330208526 200 167 74
0.00585498315243 202 166 74
0.00830861658918 202 166 74
0.010668474878 205 164 73
0.012394999431 205 164 73
0.0130305046414 206 163 72
0.012394999431 207 162 72
0.010668474878 204 164 70
0.00830861658918 200 167 69
0.00585498315243 205 164 68
0.00373330208526 206 163 68
0.00215392793018 206 160 67
0.00167748075871 199 168 74
0.00290749858744 199 168 74
0.00455986546398 200 167 73
0.00647075710589 199 168 73
0.00830861658918 203 165 72
0.00965323526301 202 166 72
0.0101481672185 203 165 71
0.00965323526301 203 165 71
0.00830861658918 202 166 69
0.00647075710589 198 168 69
0.00455986546398 199 164 68
0.00290749858744 201 164 68
0.00167748075871 200 160 67
0.00118210071139 203 165 72
0.00204887962545 202 166 72
0.00321328288319 201 167 73
0.00455986546398 200 167 73
0.00585498315243 201 142 71
0.00680251991709 203 142 71
0.00715129257136 200 139 71
0.00680251991709 198 139 71
0.00585498315243 197 136 70
0.00455986546398 196 136 70
0.00321328288319 193 132 70
0.00204887962545 192 132 70
0.00118210071139 190 124 70
0.000753740691637 202 166 71
0.00130642332847 202 166 71
0.00204887962545 201 167 73
0.00290749858744 199 168 73
0.00373330208526 198 142 71
0.00433747820111 194 142 71
0.00455986546398 194 139 71
0.00433747820111 194 139 71
0.00373330208526 193 136 70
0.00290749858744 192 136 70
0.00204887962545 191 132 70
0.00130642332847 190 132 70
0.000753740691637 190 124 70
0.000434870549116 203 127 69
0.000753740691637 203 127 69
0.00118210071139 203 121 70
0.00167748075871 199 121 70
0.00215392793018 193 111 71
0.00250250722566 191 111 71
0.00263081351481 191 105 71
0.00250250722566 191 105 71
0.00215392793018 189 107 72
0.00167748075871 189 107 72
0.00118210071139 189 107 72
0.000753740691637 190 107 72
0.000434870549116 189 101 72
0.000434870549116 150 134 167
0.000753740691637 154 145 168
0.00118210071139 157 145 168
0.00167748075871 160 171 169
0.00215392793018 162 171 169
0.00250250722566 165 184 167
0.00263081351481 165 184 167
0.00250250722566 157 168 166
0.00215392793018 150 168 166
0.00167748075871 144 134 167
0.00118210071139 140 134 167
0.000753740691637 144 117 170
0.000434870549116 144 117 170
0.000753740691637 150 134 167
0.00130642332847 151 145 168
0.00204887962545 149 145 168
0.00290749858744 185 171 167
0.00373330208526 185 171 167
0.00433747820111 182 180 168
0.00455986546398 182 180 168
0.00433747820111 158 168 166
0.00373330208526 149 168 166
0.00290749858744 148 134 167
0.00204887962545 142 134 167
0.00130642332847 144 117 170
0.000753740691637 144 117 170
0.00118210071139 154 157 165
0.00204887962545 164 193 156
0.00321328288319 160 193 156
0.00455986546398 168 190 157
0.00585498315243 179 182 160
0.00680251991709 166 191 161
0.00715129257136 173 186 163
0.00680251991709 163 193 154
0.00585498315243 161 193 154
0.00455986546398 160 181 158
0.00321328288319 158 181 158
0.00204887962545 156 163 167
0.00118210071139 147 163 167
0.00167748075871 161 157 165
0.00290749858744 174 186 158
0.00455986546398 173 186 158
0.00647075710589 163 194 157
0.00830861658918 170 189 158
0.00965323526301 166 191 161
0.0101481672185 162 194 160
0.00965323526301 177 184 157
0.00830861658918 169 189 155
0.00647075710589 170 181 158
0.00455986546398 170 181 158
0.00290749858744 162 163 167
0.00167748075871 153 163 167
0.00215392793018 172 161 160
0.00373330208526 174 186 158
0.00585498315243 167 191 156
0.00830861658918 143 208 152
0.010668474878 150 203 153
0.012394999431 159 196 157
0.0130305046414 153 201 156
0.012394999431 163 194 158
0.010668474878 163 194 158
0.00830861658918 167 191 157
0.00585498315243 168 190 157
0.00373330208526 170 189 164
0.00215392793018 163 191 162
0.00250250722566 169 161 160
0.00433747820111 167 191 156
0.00680251991709 169 189 156
0.00965323526301 160 196 156
0.012394999431 154 200 155
0.0144009347775 147 205 155
0.0151392864924 156 199 157
0.0144009347775 158 197 157
0.012394999431 160 196 158
0.00965323526301 166 191 157
0.00680251991709 169 189 158
0.00433747820111 170 189 164
0.00250250722566 165 191 162
0.00263081351481 165 157 161
0.00455986546398 164 193 157
0.00715129257136 174 186 160
0.0101481672185 166 191 162
0.0130305046414 157 198 160
0.0151392864924 155 199 158
0.0159154943092 154 200 158
0.0151392864924 156 199 156
0.0130305046414 157 198 156
0.0101481672185 159 196 155
0.00715129257136 163 194 156
0.00455986546398 162 194 160
0.00263081351481 156 199 159
0.00250250722566 157 157 161
0.00433747820111 165 192 157
0.00680251991709 174 186 160
0.00965323526301 154 200 159
0.012394999431 151 202 158
0.0144009347775 157 198 158
0.0151392864924 143 208 155
0.0144009347775 141 209 152
0.012394999431 158 197 156
0.00965323526301 161 195 155
0.00680251991709 161 195 156
0.00433747820111 163 194 161
0.00250250722566 160 196 160
0.00215392793018 154 145 167
0.00373330208526 169 185 162
0.00585498315243 181 181 164
0.00830861658918 163 194 165
0.010668474878 163 194 165
0.012394999431 164 193 160
0.0130305046414 158 197 158
0.012394999431 152 201 157
0.010668474878 158 197 158
0.00830861658918 162 194 162
0.00585498315243 157 198 161
0.00373330208526 160 196 161
0.00215392793018 163 194 162
0.00167748075871 154 145 167
0.00290749858744 165 185 162
0.00455986546398 175 185 163
0.00647075710589 163 194 165
0.00830861658918 163 194 165
0.00965323526301 161 195 159
0.0101481672185 170 189 161
0.00965323526301 155 199 158
0.00830861658918 157 198 158
0.00647075710589 154 200 160
0.00455986546398 155 199 161
0.00290749858744 158 197 161
0.00167748075871 156 199 160
0.00118210071139 158 129 170
0.00204887962545 164 161 168
0.00321328288319 168 161 168
0.00455986546398 165 192 167
0.00585498315243 168 190 168
0.00680251991709 163 194 171
0.00715129257136 164 193 171
0.00680251991709 160 196 158
0.00585498315243 160 196 158
0.00455986546398 150 203 165
0.00321328288319 157 198 167
0.00204887962545 163 194 167
0.00118210071139 158 197 166
0.000753740691637 150 129 170
0.00130642332847 155 161 168
0.00204887962545 161 161 168
0.00290749858744 159 196 166
0.00373330208526 162 194 166
0.00433747820111 159 196 170
0.00455986546398 157 198 170
0.00433747820111 160 196 158
0.00373330208526 167 191 160
0.00290749858744 166 191 169
0.00204887962545 157 198 167
0.00130642332847 163 194 167
0.000753740691637 160 196 166
0.000434870549116 142 119 175
0.000753740691637 146 136 174
0.00118210071139 150 136 174
0.00167748075871 155 161 173
0.00215392793018 161 161 173
0.00250250722566 164 172 169
0.00263081351481 169 172 169
0.00250250722566 167 191 167
0.00215392793018 167 191 167
0.00167748075871 165 192 170
0.00118210071139 165 192 170
0.000753740691637 164 174 173
0.000434870549116 160 174 173
0.000434870549116 190 174 79
0.000753740691637 191 174 73
0.00118210071139 190 174 73
0.00167748075871 191 174 72
0.00215392793018 189 175 72
0.00250250722566 188 176 72
0.00263081351481 187 176 71
0.00250250722566 190 174 69
0.00215392793018 189 175 68
0.00167748075871 190 174 69
0.00118210071139 187 174 69
0.000753740691637 186 160 70
0.000434870549116 186 160 70
0.000753740691637 190 174 79
0.00130642332847 191 174 73
0.00204887962545 189 175 73
0.00290749858744 191 174 73
0.00373330208526 189 175 72
0.00433747820111 189 175 72
0.00455986546398 188 176 72
0.00433747820111 193 172 69
0.00373330208526 193 172 69
0.00290749858744 192 173 69
0.00204887962545 191 174 69
0.00130642332847 190 160 70
0.000753740691637 190 160 70
0.00118210071139 189 175 78
0.00204887962545 185 178 76
0.00321328288319 188 176 76
0.00455986546398 187 176 74
0.00585498315243 186 177 74
0.00680251991709 185 178 74
0.00715129257136 184 179 74
0.00680251991709 187 176 75
0.00585498315243 188 176 75
0.00455986546398 186 177 74
0.00321328288319 184 179 74
0.00204887962545 189 175 69
0.00118210071139 188 176 69
0.00167748075871 190 174 78
0.00290749858744 188 176 77
0.00455986546398 188 176 76
0.00647075710589 187 176 74
0.00830861658918 186 177 74
0.00965323526301 184 179 74
0.0101481672185 184 179 73
0.00965323526301 188 176 75
0.00830861658918 188 176 75
0.00647075710589 186 177 74
0.00455986546398 186 177 74
0.00290749858744 190 174 69
0.00167748075871 189 175 69
0.00215392793018 190 174 81
0.00373330208526 188 176 81
0.00585498315243 188 176 81
0.00830861658918 186 177 79
0.010668474878 186 177 79
0.012394999431 182 180 76
0.0130305046414 181 181 76
0.012394999431 182 180 82
0.010668474878 182 180 83
0.00830861658918 183 179 78
0.00585498315243 183 179 78
0.00373330208526 187 176 74
0.00215392793018 185 178 73
0.00250250722566 189 175 81
0.00433747820111 188 176 81
0.00680251991709 188 176 81
0.00965323526301 186 177 79
0.012394999431 186 177 79
0.0144009347775 183 179 76
0.0151392864924 182 180 76
0.0144009347775 182 180 83
0.012394999431 183 179 83
0.00965323526301 185 178 78
0.00680251991709 185 178 79
0.00433747820111 189 175 74
0.00250250722566 186 177 73
0.00263081351481 194 171 78
0.00455986546398 192 173 76
0.00715129257136 193 172 77
0.0101481672185 186 177 76
0.0130305046414 185 178 76
0.0151392864924 183 179 77
0.0159154943092 182 180 77
0.0151392864924 181 181 78
0.0130305046414 181 181 78
0.0101481672185 182 180 79
0.00715129257136 182 180 79
0.00455986546398 184 179 77
0.00263081351481 182 180 77
0.00250250722566 193 172 78
0.00433747820111 191 174 76
0.00680251991709 192 173 76
0.00965323526301 185 178 76
0.012394999431 185 178 76
0.0144009347775 183 179 77
0.0151392864924 183 179 77
0.0144009347775 181 181 78
0.012394999431 181 181 78
0.00965323526301 182 180 79
0.00680251991709 182 180 79
0.00433747820111 184 179 77
0.00250250722566 183 179 77
0.00215392793018 196 170 80
0.00373330208526 193 172 78
0.00585498315243 193 172 78
0.00830861658918 185 178 78
0.010668474878 184 179 78
0.012394999431 180 181 81
0.0130305046414 181 181 81
0.012394999431 183 179 78
0.010668474878 183 179 78
0.00830861658918 184 179 78
0.00585498315243 184 179 78
0.00373330208526 186 177 76
0.00215392793018 184 179 76
0.00167748075871 196 170 79
0.00290749858744 193 172 78
0.00455986546398 193 172 78
0.00647075710589 185 178 78
0.00830861658918 184 179 78
0.00965323526301 180 181 81
0.0101481672185 181 181 81
0.00965323526301 183 179 78
0.00830861658918 183 179 78
0.00647075710589 184 179 78
0.00455986546398 184 179 78
0.00290749858744 186 177 76
0.00167748075871 184 179 76
0.00118210071139 196 157 83
0.00204887962545 198 168 80
0.00321328288319 199 168 80
0.00455986546398 191 174 79
0.00585498315243 190 174 79
0.00680251991709 186 177 79
0.00715129257136 186 177 79
0.00680251991709 186 177 78
0.00585498315243 187 176 78
0.00455986546398 187 176 77
0.00321328288319 187 176 77
0.00204887962545 185 178 76
0.00118210071139 185 178 76
0.000753740691637 196 157 83
0.00130642332847 197 168 80
0.00204887962545 197 168 80
0.00290749858744 190 174 79
0.00373330208526 190 174 79
0.00433747820111 186 177 79
0.00455986546398 186 177 79
0.00433747820111 186 177 78
0.00373330208526 186 177 78
0.00290749858744 186 177 77
0.00204887962545 186 177 77
0.00130642332847 185 178 76
0.000753740691637 185 178 76
0.000434870549116 198 151 98
0.000753740691637 197 157 89
0.00118210071139 196 157 89
0.00167748075871 197 169 82
0.00215392793018 197 169 82
0.00250250722566 193 172 79
0.00263081351481 194 171 79
0.00250250722566 187 176 79
0.00215392793018 187 176 79
0.00167748075871 186 177 77
0.00118210071139 186 177 77
0.000753740691637 185 178 77
0.000434870549116 185 178 77
0.000434870549116 116 155 189
0.000753740691637 119 155 189
0.00118210071139 120 161 186
0.00167748075871 121 161 186
0.00215392793018 129 168 184
0.00250250722566 134 168 184
0.00263081351481 127 167 184
0.00250250722566 116 167 184
0.00215392793018 107 164 186
0.00167748075871 122 164 186
0.00118210071139 118 162 186
0.000753740691637 116 162 186
0.000434870549116 114 143 183
0.000753740691637 118 195 184
0.00130642332847 120 195 184
0.00204887962545 127 211 180
0.00290749858744 135 211 180
0.00373330208526 133 215 173
0.00433747820111 134 214 173
0.00455986546398 129 214 175
0.00433747820111 125 214 175
0.00373330208526 121 203 179
0.00290749858744 126 203 179
0.00204887962545 125 195 180
0.00130642332847 120 195 180
0.000753740691637 114 174 182
0.00118210071139 120 195 184
0.00204887962545 134 195 184
0.00321328288319 132 211 180
0.00455986546398 134 211 180
0.00585498315243 137 212 174
0.00680251991709 134 214 173
0.00715129257136 132 214 175
0.00680251991709 139 211 176
0.00585498315243 141 203 179
0.00455986546398 140 203 179
0.00321328288319 133 195 180
0.00204887962545 123 195 180
0.00118210071139 112 174 182
0.00167748075871 113 224 177
0.00290749858744 139 211 181
0.00455986546398 138 211 183
0.00647075710589 127 219 180
0.00830861658918 126 220 178
0.00965323526301 120 224 177
0.0101481672185 114 229 177
0.00965323526301 122 223 179
0.00830861658918 131 216 183
0.00647075710589 128 219 182
0.00455986546398 132 216 183
0.00290749858744 123 222 181
0.00167748075871 121 194 178
0.00215392793018 119 224 177
0.00373330208526 141 209 182
0.00585498315243 148 204 186
0.00830861658918 122 223 180
0.010668474878 134 214 180
0.012394999431 128 219 178
0.0130305046414 119 225 178
0.012394999431 122 223 179
0.010668474878 126 220 182
0.00830861658918 125 221 182
0.00585498315243 139 211 185
0.00373330208526 132 216 183
0.00215392793018 127 194 178
0.00250250722566 117 226 175
0.00433747820111 131 216 179
0.00680251991709 143 208 181
0.00965323526301 125 221 177
0.012394999431 103 236 166
0.0144009347775 127 219 171
0.0151392864924 135 214 177
0.0144009347775 119 225 173
0.012394999431 120 224 177
0.00965323526301 107 234 174
0.00680251991709 125 221 180
0.00433747820111 138 211 183
0.00250250722566 133 215 180
0.00263081351481 131 216 179
0.00455986546398 133 215 179
0.00715129257136 127 219 177
0.0101481672185 134 214 179
0.0130305046414 138 211 174
0.0151392864924 116 227 169
0.0159154943092 124 221 174
0.0151392864924 119 225 173
0.0130305046414 118 226 177
0.0101481672185 100 239 173
0.00715129257136 127 219 180
0.00455986546398 138 211 183
0.00263081351481 133 215 180
0.00250250722566 140 210 182
0.00433747820111 127 219 178
0.00680251991709 117 226 175
0.00965323526301 129 218 178
0.012394999431 137 212 168
0.0144009347775 143 208 170
0.0151392864924 118 226 167
0.0144009347775 120 224 168
0.012394999431 118 226 172
0.00965323526301 118 226 172
0.00680251991709 123 222 178
0.00433747820111 127 219 178
0.00250250722566 124 221 184
0.00215392793018 144 207 183
0.00373330208526 127 219 178
0.00585498315243 122 223 177
0.00830861658918 128 219 178
0.010668474878 124 221 165
0.012394999431 124 221 165
0.0130305046414 130 217 170
0.012394999431 132 216 170
0.010668474878 133 215 175
0.00830861658918 141 209 178
0.00585498315243 116 227 176
0.00373330208526 130 217 179
0.00215392793018 123 222 184
0.00167748075871 134 214 180
0.00290749858744 137 212 181
0.00455986546398 128 219 183
0.00647075710589 131 216 183
0.00830861658918 115 228 175
0.00965323526301 111 231 174
0.0101481672185 111 231 174
0.00965323526301 120 224 176
0.00830861658918 129 218 181
0.00647075710589 136 213 182
0.00455986546398 132 216 183
0.00290749858744 123 222 180
0.00167748075871 130 217 182
0.00118210071139 130 217 179
0.00204887962545 137 212 181
0.00321328288319 128 219 183
0.00455986546398 125 221 182
0.00585498315243 122 223 176
0.00680251991709 113 229 174
0.00715129257136 95 242 166
0.00680251991709 124 221 177
0.00585498315243 133 215 182
0.00455986546398 120 224 179
0.00321328288319 124 221 180
0.00204887962545 122 223 180
0.00118210071139 126 220 182
0.000753740691637 125 186 184
0.00130642332847 133 186 184
0.00204887962545 136 213 181
0.00290749858744 136 213 181
0.00373330208526 131 216 178
0.00433747820111 145 206 182
0.00455986546398 138 211 179
0.00433747820111 121 224 175
0.00373330208526 126 220 178
0.00290749858744 126 220 178
0.00204887962545 136 213 180
0.00130642332847 139 211 180
0.000753740691637 130 209 179
0.000434870549116 118 186 184
